,customer_id,address,postcode,state,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,owns_car,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,name,year,month,day,day_of_week,quarter,age,total_profit,age_range,adresses,lat,long
0,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,94,86,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,Laraine Medendorp,2017,12,23,Saturday,2017Q4,69,110.56,over 60,2016 New South Wales Australia,-33.892215,151.205873
1,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,14931,31,2017-12-14,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,Laraine Medendorp,2017,12,14,Thursday,2017Q4,69,57.72999999999999,over 60,2016 New South Wales Australia,-33.892215,151.205873
2,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,16423,9,2017-12-09,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,Laraine Medendorp,2017,12,9,Saturday,2017Q4,69,75.13999999999999,over 60,2016 New South Wales Australia,-33.892215,151.205873
3,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,15663,32,2017-06-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,Laraine Medendorp,2017,6,4,Sunday,2017Q2,69,431.33000000000004,over 60,2016 New South Wales Australia,-33.892215,151.205873
4,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,13644,25,2017-05-19,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,Laraine Medendorp,2017,5,19,Friday,2017Q2,69,709.34,over 60,2016 New South Wales Australia,-33.892215,151.205873
5,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,5157,47,2017-05-11,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,Laraine Medendorp,2017,5,11,Thursday,2017Q2,69,189.27999999999997,over 60,2016 New South Wales Australia,-33.892215,151.205873
6,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,3765,38,2017-04-06,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,Laraine Medendorp,2017,4,6,Thursday,2017Q2,69,751.02,over 60,2016 New South Wales Australia,-33.892215,151.205873
7,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,18970,11,2017-03-29,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,Laraine Medendorp,2017,3,29,Wednesday,2017Q1,69,509.97,over 60,2016 New South Wales Australia,-33.892215,151.205873
8,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,14486,23,2017-03-27,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,Laraine Medendorp,2017,3,27,Monday,2017Q1,69,75.75,over 60,2016 New South Wales Australia,-33.892215,151.205873
9,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,13424,2,2017-02-21,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,Laraine Medendorp,2017,2,21,Tuesday,2017Q1,69,17.869999999999997,over 60,2016 New South Wales Australia,-33.892215,151.205873
